Age,F,M,Poc,
0,40,37,1,
1,191,189,1,
2,297,307,1,
3,225,208,1,
4,179,195,1,
5,160,141,1,
6,112,144,1,
7,111,124,1,
8,133,107,1,
9,98,77,1,
10,107,90,1,
11,67,93,1,
12,59,83,1,
13,61,65,1,
14,72,71,1,
15,48,74,1,
16,37,52,1,
17,41,36,1,
18,76,52,1,
19,70,53,1,
20,63,65,1,
21,107,58,1,
22,64,42,1,
23,71,73,1,
24,86,89,1,
25,89,96,1,
26,95,74,1,
27,72,89,1,
28,89,81,1,
29,105,64,1,
30,71,66,1,
31,80,58,1,
32,25,73,1,
33,28,81,1,
34,29,32,1,
35,45,62,1,
36,41,57,1,
37,16,42,1,
38,24,40,1,
39,20,22,1,
40,21,30,1,
41,34,25,1,
42,9,9,1,
43,7,42,1,
44,6,15,1,
45,14,21,1,
46,25,25,1,
47,1,15,1,
48,7,7,1,
49,3,10,1,
50,13,18,1,
51,24,20,1,
52,2,11,1,
53,1,12,1,
54,6,5,1,
55,4,12,1,
56,10,10,1,
57,3,9,1,
58,3,7,1,
59,,4,1,
60,4,3,1,121
61,12,3,1,
62,1,2,1,
63,2,1,1,
65,3,2,1,
66,1,9,1,
67,2,2,1,
68,,2,1,
69,,2,1,
70,1,1,1,
71,2,2,1,
72,,1,1,
74,1,2,1,
76,1,1,1,
78,1,,1,
81,,1,1,
0,69,96,3,
1,363,407,3,
2,697,725,3,
3,558,586,3,
4,417,407,3,
5,342,318,3,
6,326,310,3,
7,286,248,3,
8,324,264,3,
9,264,223,3,
10,258,226,3,
11,229,227,3,
12,173,189,3,
13,201,225,3,
14,176,183,3,
15,159,172,3,
16,124,132,3,
17,130,113,3,
18,210,173,3,
19,237,178,3,
20,262,185,3,
21,293,202,3,
22,220,193,3,
23,224,221,3,
24,187,181,3,
25,231,240,3,
26,291,288,3,
27,217,321,3,
28,255,280,3,
29,214,278,3,
30,211,270,3,
31,278,326,3,
32,67,203,3,
33,87,283,3,
34,52,128,3,
35,86,214,3,
36,136,181,3,
37,41,119,3,
38,69,103,3,
39,73,109,3,
40,72,84,3,
41,116,104,3,
42,20,55,3,
43,30,99,3,
44,9,49,3,
45,36,73,3,
46,69,93,3,
47,15,40,3,
48,29,39,3,
49,24,53,3,
50,47,28,3,
51,51,44,3,
52,7,25,3,
53,7,17,3,
54,8,18,3,
55,14,25,3,
56,20,33,3,
57,9,18,3,
58,1,15,3,
59,4,16,3,
60,24,7,3,
61,33,23,3,
62,4,9,3,
63,1,7,3,
64,3,10,3,
65,10,5,3,
66,9,15,3,
67,3,4,3,
68,3,6,3,
69,,4,3,
70,10,1,3,
71,11,8,3,
72,2,1,3,
73,,1,3,
74,2,3,3,
76,1,3,3,
77,1,2,3,
80,1,3,3,
81,1,,3,
83,,2,3,
87,1,,3,
88,,1,3,
100,1,,3,
